date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:12:27	15075/15075	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2008:12:25%20GMT	http://dontdumbbesmart.com/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/index-2.html	(from )
01:12:28	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2031%20Aug%202019%2008:12:24%20GMT	http://dontdumbbesmart.com/robots.txt		(from )
01:12:28	29295/29295	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2004:00:45%20GMT	http://dontdumbbesmart.com/wp-includes/css/dist/block-library/style.min.css?ver=5.2.2	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-includes/css/dist/block-library/style.minbb49.css	(from http://dontdumbbesmart.com/)
01:12:29	1495/1495	---M--	200	added ('OK')	text/css	date:Wed,%2008%20May%202019%2004:00:45%20GMT	http://dontdumbbesmart.com/wp-includes/css/dist/block-library/theme.min.css?ver=5.2.2	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-includes/css/dist/block-library/theme.minbb49.css	(from http://dontdumbbesmart.com/)
01:12:30	83/83	---M--	409	error ('Conflict')	text/html	date:Sat,%2031%20Aug%202019%2008:12:29%20GMT	http://dontdumbbesmart.com/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.4	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/plugins/contact-form-7/includes/css/styles58e0.css	(from http://dontdumbbesmart.com/)
01:12:31	36277/36277	---M--	200	added ('OK')	text/css	date:Sat,%2029%20Dec%202018%2015:46:39%20GMT	http://dontdumbbesmart.com/wp-content/themes/ruffie/style.css?ver=1.5.0	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/themes/ruffie/style91ce.css	(from http://dontdumbbesmart.com/)
01:12:31	71643/71643	---M--	200	added ('OK')	text/css	date:Tue,%2006%20Aug%202019%2016:48:28%20GMT	http://dontdumbbesmart.com/wp-content/plugins/jetpack/css/jetpack.css?ver=7.6	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/plugins/jetpack/css/jetpacke87d.css	(from http://dontdumbbesmart.com/)
01:12:35	10056/10056	---M--	200	added ('OK')	application/javascript	date:Tue,%2020%20Sep%202016%2018:48:35%20GMT	http://dontdumbbesmart.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://dontdumbbesmart.com/)
01:12:35	1667/1667	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jul%202019%2006:01:01%20GMT	http://dontdumbbesmart.com/wp-content/plugins/convertkit/resources/frontend/jquery.cookie.min.js?ver=1.4.0	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/plugins/convertkit/resources/frontend/jquery.cookie.min2fca.js	(from http://dontdumbbesmart.com/)
01:12:36	5963/5963	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2013%20Jul%202017%2022:57:22%20GMT	http://dontdumbbesmart.com/comments/feed/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/comments/feed/index.html	(from http://dontdumbbesmart.com/)
01:12:36	83/83	---M--	409	error ('Conflict')	text/html	date:Sat,%2031%20Aug%202019%2008:12:35%20GMT	http://dontdumbbesmart.com/xmlrpc.php?rsd	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/xmlrpc.a0db0.delayed	(from http://dontdumbbesmart.com/)
01:12:36	3813/3813	---M--	200	added ('OK')	application/javascript	date:Wed,%2024%20Jul%202019%2006:01:01%20GMT	http://dontdumbbesmart.com/wp-content/plugins/convertkit/resources/frontend/wp-convertkit.js?ver=1.8.0	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/plugins/convertkit/resources/frontend/wp-convertkitee8b.js	(from http://dontdumbbesmart.com/)
01:12:39	2230/2230	---MC-	200	added ('OK')	application/json	date:Sat,%2031%20Aug%202019%2008:12:36%20GMT	http://dontdumbbesmart.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdontdumbbesmart.com%2F	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-json/oembed/1.0/embed92d6.json	(from http://dontdumbbesmart.com/)
01:12:41	96873/96873	---M--	200	added ('OK')	application/javascript	date:Wed,%2022%20May%202019%2003:51:01%20GMT	http://dontdumbbesmart.com/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-includes/js/jquery/jquery4a5f.js	(from http://dontdumbbesmart.com/)
01:12:42	2319/2319	---MC-	200	added ('OK')	text/xml	date:Sat,%2031%20Aug%202019%2008:12:38%20GMT	http://dontdumbbesmart.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdontdumbbesmart.com%2F&format=xml	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-json/oembed/1.0/embeda95e	(from http://dontdumbbesmart.com/)
01:12:47	1947/1947	---M--	200	added ('OK')	image/png	etag:%221906bf1fd8e5fa6e%22	https://i1.wp.com/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x600.png?fit=32%2C32	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x6007398.png	(from http://dontdumbbesmart.com/)
01:12:52	155562/155562	---MC-	200	added ('OK')	application/json	date:Sat,%2031%20Aug%202019%2008:12:36%20GMT	http://dontdumbbesmart.com/wp-json/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-json/index.html	(from http://dontdumbbesmart.com/)
01:12:54	13184/13184	---M--	200	added ('OK')	image/png	etag:%2285f74ca42a6e51db%22	https://i1.wp.com/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x600.png?fit=192%2C192	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x600ff94.png	(from http://dontdumbbesmart.com/)
01:13:00	12095/12095	---M--	200	added ('OK')	image/png	etag:%22ff0e1b22d364ce5a%22	https://i1.wp.com/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x600.png?fit=180%2C180	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/dontdumbbesmart.com/wp-content/uploads/2017/03/cropped-FaviconLogo_600x600fd20.png	(from http://dontdumbbesmart.com/)
01:13:05	782/782	---M--	200	added ('OK')	application/javascript	date:Tue,%2006%20Aug%202019%2016:48:28%20GMT	http://dontdumbbesmart.com/wp-content/plugins/jetpack/_inc/build/photon/photon.min.js?ver=20190201	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/wp-content/plugins/jetpack/_inc/build/photon/photon.min68a5.js	(from http://dontdumbbesmart.com/)
01:13:05	3964/3964	---M--	200	added ('OK')	image/png	etag:%22879aee3add6befc4%22	https://i2.wp.com/dontdumbbesmart.com/wp-content/uploads/2017/03/FaviconLogo_85x85.png?fit=85%2C85	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/dontdumbbesmart.com/wp-content/uploads/2017/03/FaviconLogo_85x858d41.png	(from http://dontdumbbesmart.com/)
01:13:07	22286/22286	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2008:13:04%20GMT	http://dontdumbbesmart.com/ddbs-primer/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/ddbs-primer/index.html	(from http://dontdumbbesmart.com/)
01:13:07	18542/18542	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2008:13:05%20GMT	http://dontdumbbesmart.com/the-goals-page/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/the-goals-page/index.html	(from http://dontdumbbesmart.com/)
01:13:08	83/83	---M--	409	error ('Conflict')	text/html	date:Sat,%2031%20Aug%202019%2008:13:07%20GMT	http://dontdumbbesmart.com/contact/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/contact/index.html	(from http://dontdumbbesmart.com/)
01:13:09	15607/15607	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2008:13:07%20GMT	http://dontdumbbesmart.com/subscribe/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/subscribe/index.html	(from http://dontdumbbesmart.com/)
01:13:10	38256/38256	---M-Z	200	added ('OK')	text/html	date:Sat,%2031%20Aug%202019%2008:13:08%20GMT	http://dontdumbbesmart.com/move-forward-not-backward/	E:/Google%20Drive/DDBS/dontdumbbesmart.com/DDBS%20Archive/move-forward-not-backward/index.html	(from http://dontdumbbesmart.com/)
